,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
442675,The Willow,Pass,,,,2014-09-05,55.946771,-4.768869
442676,Thorntons,Pass,,,,2011-03-15,55.947821,-4.7585
442677,Three In One Take Away,Pass,,,,2014-04-22,55.961762,-4.818863
442678,Three Sisters Bake,Pass,,,,2014-10-24,55.928634,-4.619237
442679,Three Sisters Bake,Improvement Required,,,,2014-09-12,,
442680,Three Sisters Bake (Mobile Van),Pass,,,,2014-06-24,,
442681,Tilda's,Pass,,,,2015-02-09,55.94214,-4.73556
442682,TJ's,Improvement Required,,,,2014-03-13,55.948398,-4.767655
442683,Tokyo Joe,Improvement Required,,,,2013-11-19,55.949857,-4.75991
442684,Tontine Hotel,Pass,,,,2013-05-13,55.952357,-4.767474
442685,Torpedo Factory Club,Pass,,,,2010-02-03,55.956588,-4.810476
442686,Training Restaurant,Pass,,,,2014-08-20,55.949392,-4.770642
442687,Twist,Improvement Required,,,,2014-06-12,55.952042,-4.763109
